name,phone,website,address,rating,reviews,timings,timestamp
Mayura Indian Restaurant,+1 310-559-9644,https://mayura-indian-restaurant.com/,"10406 Venice Blvd., Culver City, CA 90232, United States",4.7,,Hours: Closed ⋅ Opens 11 amWednesday11 am–9 pmThursday11 am–9 pmFriday11 am–9 pmSaturday11 am–9 pmSunday11 am–9 pmMondayClosedTuesday11 am–9 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:04.168Z
Spice Affair,+1 310-400-6800,http://www.spice-affair.com/,"50 N La Cienega Blvd #120, Beverly Hills, CA 90211, United States",4.3,,"HoursSpice Affair11 am–2:30 pm, 5–10 pmWednesday11 am–2:30 pm, 5–10 pmThursday11 am–2:30 pm, 5–10 pmFriday11 am–2:30 pm, 5–10:30 pmSaturday11 am–2:30 pm, 5–10:30 pmSunday11 am–2:30 pm, 5–10 pmMonday11 am–2:30 pm, 5–10 pmTuesday11 am–2:30 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.Happy hours5–8 pmWednesday5–8 pmThursday5–8 pmFriday5–8 pmSaturday5–8 pmSunday5–8 pmMonday5–8 pmTuesday5–8 pmHours: Closed ⋅ Opens 11 am · More hoursWednesday11 am–2:30 pm, 5–10 pmThursday11 am–2:30 pm, 5–10 pmFriday11 am–2:30 pm, 5–10:30 pmSaturday11 am–2:30 pm, 5–10:30 pmSunday11 am–2:30 pm, 5–10 pmMonday11 am–2:30 pm, 5–10 pmTuesday11 am–2:30 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:06.060Z
India's Restaurant,+1 323-912-9230,http://www.indiasrestaurant.net/,"4366 Fountain Ave, Los Angeles, CA 90029, United States",4.2,,HoursIndia's Restaurant11 am–1 amWednesday11 am–1 amThursday11 am–1 amFriday11 am–1 amSaturday11 am–1 amSunday11 am–1 amMonday11 am–1 amTuesday11 am–1 amSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.Brunch11 am–3 pmWednesday11 am–3 pmThursday10 am–3 pmFriday11 am–3 pmSaturday11 am–4 pmSunday11 am–4 pmMonday11 am–3 pmTuesday11 am–3 pmLunch11 am–3 pmWednesday11 am–3 pmThursday11 am–3 pmFriday11 am–3 pmSaturday11 am–4 pmSunday11 am–4 pmMonday11 am–3 pmTuesday11 am–3 pmHours: Closed ⋅ Opens 11 am · More hoursWednesday11 am–1 amThursday11 am–1 amFriday11 am–1 amSaturday11 am–1 amSunday11 am–1 amMonday11 am–1 amTuesday11 am–1 amSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:07.832Z
BADMAASH Downtown LA,+1 213-221-7466,http://www.badmaashla.com/,"108 W 2nd St #104, Los Angeles, CA 90012, United States",4.1,,"HoursBADMAASH Downtown LA11:30 am–3 pm, 5–10 pmWednesday11:30 am–3 pm, 5–10 pmThursday11:30 am–3 pm, 5–10 pmFriday11:30 am–3 pm, 5–10 pmSaturday12–10 pmSunday12–10 pmMonday11:30 am–3 pm, 5–10 pmTuesday11:30 am–3 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.Lunch11:30 am–3 pmWednesday11:30 am–3 pmThursday11:30 am–3 pmFriday11:30 am–3 pmSaturdayClosedSundayClosedMonday11:30 am–3 pmTuesday11:30 am–3 pmBrunchClosed todayWednesdayClosedThursdayClosedFridayClosedSaturday12–4 pmSunday12–4 pmMondayClosedTuesdayClosedHours: Closed ⋅ Opens 11:30 am · More hoursWednesday11:30 am–3 pm, 5–10 pmThursday11:30 am–3 pm, 5–10 pmFriday11:30 am–3 pm, 5–10 pmSaturday12–10 pmSunday12–10 pmMonday11:30 am–3 pm, 5–10 pmTuesday11:30 am–3 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:09.739Z
Roots Indian Bistro,+1 323-297-3125,https://www.rootsindianbistro.com/,"7265 Melrose Ave, Los Angeles, CA 90046, United States",4.8,,"Hours: Closed ⋅ Opens 11:30 amConfirmed by this business 11 weeks agoWednesday11:30 am–3 pm, 4:30–10 pmThursday11:30 am–3 pm, 4:30–10 pmFriday11:30 am–3 pm, 4:30–11 pmSaturday11:30 am–3 pm, 4:30–11 pmSunday4–10 pmMonday11:30 am–3 pm, 4:30–10 pmTuesday11:30 am–3 pm, 4:30–10 pmConfirmed by this business 11 weeks agoSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:11.517Z
LA INDIAN CUISINE,+1 661-753-3285,http://www.laindiancuisine.com/,"31703 Castaic Rd, Castaic, CA 91384, United States",4.9,,Hours: Closed ⋅ Opens 10 amWednesday10 am–10 pmThursday10 am–10 pmFriday10 am–10 pmSaturday10 am–10 pmSunday10 am–9 pmMonday10 am–10 pmTuesday10 am–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:13.411Z
India Restaurant La Habra,+1 562-694-8590,http://indiarestaurantlahabra.com/,"1920 W Whittier Blvd, La Habra, CA 90631, United States",4.6,,Hours: Closed ⋅ Opens 11 amWednesday11 am–9:30 pmThursday11 am–9:30 pmFriday11 am–9:30 pmSaturday11 am–9:30 pmSunday11 am–9:30 pmMonday11 am–9:30 pmTuesday11 am–9:30 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:15.203Z
Crown of India,,http://www.crownofindiala.com/,"6755 Santa Monica Blvd, Los Angeles, CA 90038, United States",4.6,,"HoursCrown of India11 am–3 pm, 5–10:30 pmWednesday11 am–3 pm, 5–10:30 pmThursday11 am–3 pm, 5–10:30 pmFriday11 am–1:30 pm, 3:30–10:30 pmSaturday12–10:30 pmSunday12–10:30 pmMonday11 am–3 pm, 5–10:30 pmTuesday11 am–3 pm, 5–10:30 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.Delivery11 am–2:30 pm, 5–10 pmWednesday11 am–2:30 pm, 5–10 pmThursday11 am–2:30 pm, 5–10 pmFriday11 am–1:30 pm, 3:30–10 pmSaturday12–10 pmSunday12–10 pmMonday11 am–2:30 pm, 5–10 pmTuesday11 am–2:30 pm, 5–10 pmHours: Closed ⋅ Opens 11 am · More hoursWednesday11 am–3 pm, 5–10:30 pmThursday11 am–3 pm, 5–10:30 pmFriday11 am–1:30 pm, 3:30–10:30 pmSaturday12–10:30 pmSunday12–10:30 pmMonday11 am–3 pm, 5–10:30 pmTuesday11 am–3 pm, 5–10:30 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:17.350Z
Urban Masala,+1 323-957-9999,https://theurbanmasala.com/,"6554 Hollywood Blvd, Los Angeles, CA 90028, United States",4.3,,Hours: Closed ⋅ Opens 11 amUpdated by this business 10 weeks agoWednesday11 am–9 pmThursday11 am–9 pmFriday11 am–11 pmSaturday11 am–11 pmSunday11 am–9 pmMonday11 am–9 pmTuesday11 am–9 pmUpdated by this business 10 weeks agoSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:19.281Z
Star of India,+1 323-939-6815,https://www.starofindiala.com/,"730 Vine St, Los Angeles, CA 90038, United States",4.4,,"Hours: Closed ⋅ Opens 10:30 amWednesday10:30 am–3 pm, 5–10:30 pmThursday10:30 am–3 pm, 5–10:30 pmFriday10:30 am–3 pm, 5–10:30 pmSaturday12–10:30 pmSunday12–10:30 pmMonday10:30 am–3 pm, 5–10:30 pmTuesday10:30 am–3 pm, 5–10:30 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:21.200Z
Bollywood Cafe Indian Restaurant-Studio City,+1 818-508-8400,https://www.bollywoodcafela.com/,"11101 Ventura Blvd, Studio City, CA 91604, United States",4.6,,"HoursBollywood Cafe Indian Restaurant-Studio City11 am–2:45 pm, 5–10 pmWednesday11 am–2:45 pm, 5–10 pmThursday11 am–2:45 pm, 5–10 pmFriday11 am–2:45 pm, 5–10 pmSaturday11 am–2:45 pm, 5–10 pmSunday11 am–2:45 pm, 5–10 pmMonday11 am–2:45 pm, 5–10 pmTuesday11 am–2:45 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.Online operating hours11 am–2:45 pm, 5–10 pmWednesday11 am–2:45 pm, 5–10 pmThursday11 am–2:45 pm, 5–10 pmFriday11 am–2:45 pm, 5–10 pmSaturday11 am–2:45 pm, 5–10 pmSunday11 am–2:45 pm, 5–10 pmMonday11 am–2:45 pm, 5–10 pmTuesday11 am–2:45 pm, 5–10 pmHours: Closed ⋅ Opens 11 am · More hoursWednesday11 am–2:45 pm, 5–10 pmThursday11 am–2:45 pm, 5–10 pmFriday11 am–2:45 pm, 5–10 pmSaturday11 am–2:45 pm, 5–10 pmSunday11 am–2:45 pm, 5–10 pmMonday11 am–2:45 pm, 5–10 pmTuesday11 am–2:45 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:23.667Z
